"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",2931.87934880996,0.0591670204125373,0.191886975262179,0.308343077124938,0.75782129092438,0.823129467215424
"ENSMUSG00000000028",1566.78827739693,0.214294759549738,0.192376511058466,1.11393411997481,0.265307450474933,0.363865780915705
"ENSMUSG00000000037",5360.90641755713,-0.360849018126755,0.180626779562448,-1.99776034871949,0.0457426480191666,0.0820689077690763
"ENSMUSG00000000056",649.778287070454,0.643766506414262,0.28459525559421,2.26204229958133,0.0236947899914262,0.0462430229943145
"ENSMUSG00000000078",230.646065713682,3.68024242655569,0.404939598811251,9.08837376576527,1.00531414742147e-19,1.55159532240299e-18
"ENSMUSG00000000085",3977.64180845777,1.15143365253746,0.218688366889376,5.2651801690024,1.40051939425197e-07,6.8932771290652e-07
"ENSMUSG00000000088",990.907311385644,-0.411770637827088,0.175660140543907,-2.3441324625615,0.0190713967630225,0.0382013260721774
"ENSMUSG00000000094",5348.95754638386,0.272461133053815,0.171883607304442,1.58514902803517,0.112932478395442,0.178368897456848
"ENSMUSG00000000120",2.57521202851641,4.73924172520988,1.68939299969126,2.80529262644985,0.0050270917704508,0.0116714579868748
"ENSMUSG00000000126",68.1066713098652,5.45312522606052,1.00996856083607,5.39930195603946,6.69006903231847e-08,3.41631427699091e-07
"ENSMUSG00000000127",558.587110505156,-0.291273619947303,0.187963203279192,-1.54963107068706,0.121230091001426,0.189458577660951
"ENSMUSG00000000131",2462.61540703186,0.979506332332219,0.24387228296958,4.01647255852524,5.90757392863858e-05,0.000200063847114351
"ENSMUSG00000000134",7383.12417325419,0.571907008920075,0.190474791083128,3.00253385588689,0.00267742190395231,0.00661342392175695
"ENSMUSG00000000142",9466.88543215759,1.08022352750037,0.196238008239123,5.50466006658648,3.69881266373029e-08,1.95224245678762e-07
"ENSMUSG00000000148",214.445106394215,2.54268865157074,0.346600230317256,7.3360847142061,2.19932841838311e-13,2.04297173119285e-12
"ENSMUSG00000000149",2141.88040473224,0.10503967422019,0.247385052212383,0.42459992340205,0.671128348863302,0.754300414601291
"ENSMUSG00000000154",8.57854005980501,0.985291792382017,0.997915818878662,0.987349607794743,0.323471279123532,0.427852364491345
"ENSMUSG00000000157",16.8381726749142,4.97654148563696,0.925163517470069,5.37909395654262,7.48616340200412e-08,3.80105056725036e-07
"ENSMUSG00000000167",37.8964156837448,-0.586305356552138,0.395887564334121,-1.48098957727631,0.138609350915103,0.212212683366369
"ENSMUSG00000000168",1237.16347205639,0.97320090346565,0.205222273938022,4.74217970978901,2.11430938307544e-06,8.92309523645026e-06
"ENSMUSG00000000171",1206.92656233041,0.0719888094066446,0.174561834676441,0.412397186017661,0.680048325360651,0.761243873214772
