,gene_id,log2FC_rM,padj_rM,log2FC_pA,padj_pA,rM_minus_pA
0,ENSMUSG00000000001,0.0591670204125373,0.823129467215424,-0.629711044370375,0.000670475248194108,0.6888780647829122
1,ENSMUSG00000000028,0.214294759549738,0.36386578091570504,-0.4520413415941071,0.258711712575258,0.6663361011438451
2,ENSMUSG00000000037,-0.36084901812675496,0.0820689077690763,-1.7813605574903997,3.86439267310729e-12,1.4205115393636447
3,ENSMUSG00000000056,0.643766506414262,0.0462430229943145,-0.460804532237798,0.215397678083468,1.10457103865206
4,ENSMUSG00000000078,3.68024242655569,1.55159532240299e-18,1.22656642655666,0.0396504816126813,2.45367599999903
5,ENSMUSG00000000085,1.15143365253746,6.8932771290652e-07,-0.231279900922229,0.486169023607169,1.382713553459689
6,ENSMUSG00000000088,-0.41177063782708795,0.0382013260721774,-0.5001811339737771,0.16578127424958303,0.08841049614668911
7,ENSMUSG00000000094,0.272461133053815,0.17836889745684803,-0.684134631754763,0.000724111534425089,0.9565957648085779
8,ENSMUSG00000000126,5.45312522606052,3.4163142769909103e-07,0.20466402922803,0.8640843684303791,5.24846119683249
9,ENSMUSG00000000127,-0.291273619947303,0.189458577660951,-0.522493121324643,0.140684324159474,0.23121950137734
10,ENSMUSG00000000131,0.9795063323322192,0.000200063847114351,-0.140298611867738,0.6634027293737379,1.1198049441999571
11,ENSMUSG00000000134,0.571907008920075,0.00661342392175695,-0.7669862820749029,0.00305245653691296,1.338893290994978
12,ENSMUSG00000000142,1.08022352750037,1.9522424567876198e-07,-0.530075101706558,0.0197094310806022,1.6102986292069281
13,ENSMUSG00000000148,2.5426886515707405,2.04297173119285e-12,-0.0662435716229571,0.9330244619432421,2.6089322231936976
14,ENSMUSG00000000149,0.10503967422019,0.7543004146012908,-0.693878059676186,0.012933622770886999,0.798917733896376
15,ENSMUSG00000000154,0.985291792382017,0.427852364491345,-2.67591145873404,0.0210476576008062,3.661203251116057
16,ENSMUSG00000000157,4.97654148563696,3.80105056725036e-07,-0.514806621598726,0.8234494097058629,5.4913481072356864
17,ENSMUSG00000000167,-0.586305356552138,0.21221268336636898,-0.799706728670264,0.20994763885392603,0.21340137211812604
18,ENSMUSG00000000168,0.9732009034656501,8.92309523645026e-06,-0.21647731108107998,0.43174635646121895,1.1896782145467302
19,ENSMUSG00000000171,0.0719888094066446,0.761243873214772,-0.55651224924714,0.162766973138645,0.6285010586537847
20,ENSMUSG00000000183,-1.4163664568158103,0.0852278417998902,-0.752027310927397,0.7729879782060501,-0.6643391458884133
