"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",985.035480605267,-0.629711044370375,0.157773987106864,-3.99122222818555,6.57336481453962e-05,0.000670475248194108
"ENSMUSG00000000028",256.804779040001,-0.452041341594107,0.304524187489288,-1.48441851309433,0.137697926354634,0.258711712575258
"ENSMUSG00000000037",691.260160189554,-1.7813605574904,0.233338744212294,-7.63422535551874,2.27182229594787e-14,3.86439267310729e-12
"ENSMUSG00000000056",168.309485142834,-0.460804532237798,0.285948644282438,-1.6114940268178,0.10707208807819,0.215397678083468
"ENSMUSG00000000078",79.9168934726064,1.22656642655666,0.484807680392874,2.530006178043,0.0114060518260834,0.0396504816126813
"ENSMUSG00000000085",513.754858755473,-0.231279900922229,0.2385399849663,-0.969564498609755,0.332263615955754,0.486169023607169
"ENSMUSG00000000088",856.049914110527,-0.500181133973777,0.281274085653873,-1.77826952245179,0.0753595994287742,0.165781274249583
"ENSMUSG00000000094",695.687244797602,-0.684134631754763,0.172397206493709,-3.96836262993467,7.23681539452153e-05,0.000724111534425089
"ENSMUSG00000000126",6.41401986510011,0.20466402922803,0.736728862428798,0.277801019703921,0.781165108371976,0.864084368430379
"ENSMUSG00000000127",107.76496844551,-0.522493121324643,0.278476567389479,-1.87625524913154,0.0606202388088217,0.140684324159474
"ENSMUSG00000000131",213.693305826933,-0.140298611867738,0.218740548545857,-0.641392795256368,0.521267512771573,0.663402729373738
"ENSMUSG00000000134",1091.94294840726,-0.766986282074903,0.218046461100624,-3.51753602513619,0.000435573221983482,0.00305245653691296
"ENSMUSG00000000142",1425.46452973884,-0.530075101706558,0.187085960491626,-2.8333237850324,0.00460666987727139,0.0197094310806022
"ENSMUSG00000000148",76.5743975363922,-0.0662435716229571,0.467715482880076,-0.141632197452703,0.887370533401601,0.933024461943242
"ENSMUSG00000000149",294.021944583094,-0.693878059676186,0.231444498807989,-2.99803219886355,0.00271728962965547,0.012933622770887
"ENSMUSG00000000154",4.04309706811797,-2.67591145873404,0.953521720677741,-2.80634557210932,0.00501069235876675,0.0210476576008062
"ENSMUSG00000000157",1.84024945796006,-0.514806621598726,1.46649853251265,-0.351044757417298,0.725554770856033,0.823449409705863
"ENSMUSG00000000167",12.2605713935897,-0.799706728670264,0.490927358908918,-1.62897160681288,0.10331902976613,0.209947638853926
"ENSMUSG00000000168",371.51128471295,-0.21647731108108,0.200852959540994,-1.07778999909084,0.281127483639178,0.431746356461219
"ENSMUSG00000000171",938.748959033462,-0.55651224924714,0.310975469740175,-1.78956960724946,0.073523128086717,0.162766973138645
"ENSMUSG00000000183",2.69753977934319,-0.752027310927397,1.69446727390935,-0.443813417058432,0.657177487171972,0.77298797820605
"ENSMUSG00000000184",445.768073559347,0.414006426987308,0.825583384576372,0.50147136524525,0.616039425456307,0.742301661120522
"ENSMUSG00000000194",173.116715968587,-0.387447324175648,0.319205337093075,-1.21378711178214,0.2248290291215,0.369089574030616
"ENSMUSG00000000197",38.7224491926715,1.77825248354291,0.471870750048628,3.76851602554227,0.000164220943773812,0.00139882685541275
"ENSMUSG00000000202",40.5458305512163,-1.77835462321315,0.537826081289615,-3.30656077323167,0.00094448860082844,0.00561822254961177
"ENSMUSG00000000214",246.197008910137,-1.75472066955159,0.311752557568571,-5.62856864186474,1.81711189280896e-08,6.53849663993652e-07
"ENSMUSG00000000215",29.1301348608922,1.03528354561615,0.466695904032354,2.2183257591744,0.0265326290539645,0.0753218936730887
"ENSMUSG00000000223",3.0584255106092,-0.724138002888142,1.1359678748967,-0.637463451995939,0.523823008958285,0.665648918718496
"ENSMUSG00000000247",39.1308963832511,-0.663875802367227,0.359612267997508,-1.84608774907487,0.0648794653766158,0.148004632476593
"ENSMUSG00000000248",3.33095199189368,0.363918712695934,1.45398376278985,0.250290768032828,0.802362495354578,0.877331629229991
"ENSMUSG00000000253",530.228197593168,-0.26114490996182,0.332946009647067,-0.78434611737393,0.432837045961533,0.585601016629888
"ENSMUSG00000000275",1.53964164005573,1.98602234340465,1.98267186353119,1.00168988118261,0.316493395309786,NA
"ENSMUSG00000000276",256.265768999221,-0.807672769368392,0.316730111308634,-2.55003468420268,0.0107712202589506,0.0377969054304497
"ENSMUSG00000000278",219.85625576064,-0.740498530603549,0.304149578936658,-2.43465249300169,0.0149060974898464,0.0485759891791
"ENSMUSG00000000282",22.1237222673518,-0.0431855600932435,0.446471155745887,-0.096726427984125,0.922943651736786,0.953228160751012
"ENSMUSG00000000290",6.89432780218657,-0.943715917480172,1.18190641208665,-0.798469242428467,0.42459823516599,0.577156206846133
"ENSMUSG00000000295",155.278654491451,0.171529402641664,0.300037931112039,0.571692392378255,0.567530389307086,0.703013055817218
"ENSMUSG00000000296",34.2837665993041,-0.248473240612402,0.453004583748984,-0.548500499831773,0.583348286154466,0.715704858259359
"ENSMUSG00000000301",58.2019229836885,0.0346364436575578,0.384422569021245,0.090099922451857,0.928207810844895,0.95667289100791
"ENSMUSG00000000303",1764.63430018105,-0.691592511389638,0.323466710917515,-2.13806394304975,0.0325115538706563,0.0877957933261469
"ENSMUSG00000000305",438.202292092215,-1.28524603904044,0.229240135278461,-5.60654894693391,2.0640062418966e-08,7.28676417474608e-07
"ENSMUSG00000000318",167.028833750882,-1.00065710436312,0.323161959395689,-3.09645697852043,0.00195848279047042,0.0100337238185342
"ENSMUSG00000000320",39.8639241194623,-0.477505778157852,0.311981118715306,-1.53055986248191,0.125878207986445,0.242206241143936
"ENSMUSG00000000325",24.0025934805188,-0.323029020877935,0.425439291810336,-0.759283467926475,0.447683004808333,0.598712023584207
"ENSMUSG00000000326",4.04752470538127,0.776941636048135,0.889301129417168,0.87365416544262,0.382306618859298,0.536637781244525
"ENSMUSG00000000339",127.743640032653,-0.619702078488281,0.305182036026054,-2.03059815236102,0.0422957753143895,0.107253066775209
"ENSMUSG00000000340",138.891096930588,1.37335109184971,0.392972027215373,3.49478079033099,0.000474451255034072,0.0032439135748168
"ENSMUSG00000000346",1187.69872316534,-0.489573264417795,0.229758047234938,-2.13082096714195,0.0331038943246371,0.0891380844942259
