"dis3l2_yg_cKO_1_1_S11_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_2_S14_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_3_S9_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_4_S12_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_1_S15_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_2_S10_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_3_S13_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_4_S16_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_1_S6_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_2_S1_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_3_S4_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_4_S7_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_1_S2_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_2_S5_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_3_S8_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_4_S3_L001_R1_001_cutadaptAligned_genes_yes.txt"
"ENSMUSG00000041949" 150 191 302 302 332 332 243 303 37 9 23 28 70 23 29 50
"ENSMUSG00000041954" 0 1 0 0 0 0 11 0 0 0 0 0 0 0 0 5
"ENSMUSG00000041957" 341 345 548 339 283 243 266 311 176 87 109 194 262 191 211 269
"ENSMUSG00000041958" 695 839 797 695 721 687 646 620 571 320 433 392 661 447 616 507
"ENSMUSG00000041959" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000041961" 2452 2406 2733 2543 2637 2904 2669 2634 925 595 697 887 1385 874 761 741
"ENSMUSG00000041966" 649 954 910 723 1005 957 1110 935 584 374 611 769 983 664 682 564
"ENSMUSG00000041974" 1558 1433 1484 1712 1677 1619 1533 1627 1730 1860 2121 2277 2956 1999 2281 1807
"ENSMUSG00000041975" 80 85 109 118 92 84 62 94 434 325 333 343 394 291 333 340
"ENSMUSG00000041977" 8586 8874 11995 8904 8825 8825 9005 9198 6272 5166 6199 7069 11408 6955 7823 6818
"ENSMUSG00000041984" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSMUSG00000041986" 7 0 0 0 0 0 0 2 0 0 0 0 1 2 0 4
"ENSMUSG00000041991" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000041992" 10913 11693 14450 10500 11199 12014 11432 11135 12094 8502 11793 12091 16643 11303 12099 10409
"ENSMUSG00000041995" 210697 161658 202070 218527 205456 210957 201894 166763 220539 235737 275700 285974 344645 288322 257614 212423
"ENSMUSG00000041997" 1207 1094 2383 1329 1190 1337 1578 1191 1445 1072 1137 1255 1965 1254 1429 1340
"ENSMUSG00000042002" 3 21 3 34 34 29 16 65 21 41 10 21 34 23 26 9
"ENSMUSG00000042010" 2507 1912 2301 2209 2667 2878 1875 1914 1794 1221 1220 1574 2173 1605 1970 1574
"ENSMUSG00000042015" 384 320 457 446 433 496 339 440 601 477 549 566 791 887 634 601
"ENSMUSG00000042029" 6525 5054 6143 5941 6083 6813 5856 5404 7343 6407 8670 8493 10592 7961 7992 6984
"ENSMUSG00000042031" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042032" 16658 16354 22332 17832 17053 18715 18103 16991 20814 16537 18031 20403 25543 21415 20594 20081
"ENSMUSG00000042035" 12322 13146 15509 12180 11986 10363 11870 11593 10972 6793 7417 7295 12055 6836 10232 9130
"ENSMUSG00000042041" 3 2 3 0 0 0 0 1 6 3 4 0 0 0 8 0
"ENSMUSG00000042042" 6 52 10 12 15 5 13 14 10 0 1 1 8 2 9 9
"ENSMUSG00000042043" 149 150 214 169 134 225 113 148 226 150 279 229 352 339 226 257
"ENSMUSG00000042045" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042046" 5179 5766 5548 3902 5422 6084 4240 5032 4522 2838 3885 4588 5631 3036 3676 3138
"ENSMUSG00000042050" 306 525 405 391 410 349 311 536 175 103 96 157 305 86 144 140
"ENSMUSG00000042055" 1230 1193 1592 1664 1505 1370 1512 1570 827 630 809 1030 1217 888 976 863
"ENSMUSG00000042063" 96 39 77 119 123 165 113 180 51 25 36 35 17 9 23 15
"ENSMUSG00000042064" 7 1 2 0 1 2 0 14 17 3 2 8 2 6 0 4
"ENSMUSG00000042066" 3641 3105 3773 3602 3964 4093 3596 3108 6093 4962 4427 5603 6814 4442 5263 5029
"ENSMUSG00000042073" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 7 0
"ENSMUSG00000042078" 207 177 122 232 264 282 249 226 232 116 188 171 236 132 161 178
"ENSMUSG00000042079" 172 214 178 231 310 283 239 204 336 283 321 374 387 363 358 376
"ENSMUSG00000042082" 1074 811 1372 571 363 433 218 369 1499 1175 935 1240 1329 543 608 689
"ENSMUSG00000042087" 41 37 41 38 48 19 50 28 37 26 14 40 16 4 21 18
"ENSMUSG00000042092" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042096" 7 12 17 7 12 14 3 9 94 13 56 46 58 63 34 33
"ENSMUSG00000042097" 0 0 1 0 0 0 12 10 0 0 0 0 3 0 1 0
"ENSMUSG00000042099" 5 6 3 0 2 0 3 0 0 0 0 0 1 0 0 0
"ENSMUSG00000042102" 6 7 5 11 0 6 5 2 14 7 9 19 13 11 2 8
"ENSMUSG00000042104" 649 500 769 607 486 584 405 520 107 107 173 109 217 169 173 155
"ENSMUSG00000042105" 797 2347 1292 1198 2311 2418 1746 1944 1608 1130 1092 1310 2823 1568 1484 1416
"ENSMUSG00000042106" 2 2 7 0 2 1 1 0 0 7 6 0 0 0 0 4
"ENSMUSG00000042109" 5 1 0 0 2 0 3 3 5 3 0 5 0 0 3 0
"ENSMUSG00000042111" 1053 1322 1460 1154 1019 1111 1067 1042 2188 1427 2073 2143 2875 1944 2185 2235
"ENSMUSG00000042115" 0 0 0 0 2 13 1 2 0 0 0 0 3 2 0 1
"ENSMUSG00000042116" 0 0 0 0 0 1 7 1 0 0 0 0 0 0 0 0
"ENSMUSG00000042118" 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 4
"ENSMUSG00000042121" 5071 5041 5496 5520 5776 5831 5672 5332 2890 1535 2500 2409 3927 2643 2798 2479
"ENSMUSG00000042124" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042129" 68 133 306 102 87 83 143 147 36 42 57 85 54 105 78 48
"ENSMUSG00000042133" 5981 5006 6388 6192 6062 6799 5842 6097 6181 6465 8007 8518 11926 9436 7643 5489
"ENSMUSG00000042138" 75 138 194 134 126 98 188 125 153 156 232 223 251 167 217 217
"ENSMUSG00000042148" 3292 3025 3671 3076 3030 3565 2805 2624 4624 3615 3903 4321 5327 4094 4192 4082
"ENSMUSG00000042155" 4 19 0 1 21 0 0 0 0 0 0 0 0 12 9 10
"ENSMUSG00000042156" 150 132 232 176 56 105 68 85 190 188 176 178 188 165 236 213
"ENSMUSG00000042157" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042165" 3 2 7 11 4 8 4 4 8 7 4 9 9 12 22 7
"ENSMUSG00000042167" 1273 1191 1435 1328 1141 1182 1201 1181 952 916 922 1080 1535 1244 1099 926
"ENSMUSG00000042178" 372 326 491 288 433 414 378 398 191 78 105 177 252 164 170 198
"ENSMUSG00000042179" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"ENSMUSG00000042182" 166 106 138 185 138 108 127 99 57 27 27 20 139 32 100 43
"ENSMUSG00000042184" 9 0 0 0 0 0 0 0 3 0 0 15 0 1 13 0
"ENSMUSG00000042185" 7747 7370 8311 7722 7905 8238 7572 7258 7566 6913 8003 8631 11009 7037 7812 6995
"ENSMUSG00000042189" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042190" 345 108 344 554 592 608 569 422 1030 447 731 1134 1375 663 815 519
"ENSMUSG00000042195" 565 424 543 486 377 538 662 699 674 352 454 387 526 317 430 457
"ENSMUSG00000042197" 4154 4134 5247 4559 4358 4302 4810 4724 4482 4076 4744 5174 6448 5538 5316 3878
"ENSMUSG00000042198" 123 133 179 202 165 195 165 173 208 223 265 235 265 197 156 161
"ENSMUSG00000042200" 1 0 0 0 0 0 0 0 7 2 0 0 0 0 0 0
"ENSMUSG00000042202" 137 323 310 231 340 233 232 333 68 26 53 12 83 44 178 82
"ENSMUSG00000042203" 8677 7503 9282 8987 9077 9709 8015 7471 7502 7292 7328 8987 11145 7527 7416 6632
"ENSMUSG00000042207" 412 311 485 269 297 517 430 517 50 10 71 18 120 79 140 45
"ENSMUSG00000042208" 109 227 262 185 174 158 219 223 191 176 88 138 305 139 122 164
"ENSMUSG00000042210" 40 3 11 23 12 7 26 2 89 58 27 61 19 30 31 22
"ENSMUSG00000042211" 3297 3309 5302 3402 3380 4244 3859 3617 4314 2548 3265 4066 4787 3284 3822 3813
"ENSMUSG00000042212" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042213" 89 46 66 51 82 94 78 87 28 42 29 19 79 56 7 17
"ENSMUSG00000042215" 11 0 0 4 0 9 0 0 0 0 0 0 0 1 4 2
"ENSMUSG00000042216" 4448 3830 4637 4472 4227 4652 3866 3660 4775 3175 3098 4293 4542 3083 3726 3871
"ENSMUSG00000042219" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042225" 2462 3812 3546 3612 3162 3687 3270 3725 510 448 496 514 1071 815 937 751
"ENSMUSG00000042228" 78 90 121 78 26 21 31 16 262 261 263 371 779 743 485 476
"ENSMUSG00000042229" 772 746 874 821 990 831 927 808 1106 1187 1301 1373 1422 987 828 921
"ENSMUSG00000042240" 5 0 0 0 2 0 0 0 8 0 0 0 0 0 0 0
"ENSMUSG00000042243" 2 29 24 21 29 31 52 70 54 4 8 0 84 67 93 36
"ENSMUSG00000042244" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042246" 314 187 219 248 194 219 163 86 350 314 278 522 360 306 170 193
"ENSMUSG00000042248" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042249" 0 0 0 0 7 0 0 1 0 0 13 7 0 0 0 0
"ENSMUSG00000042250" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042251" 33 73 132 30 94 84 35 85 18 1 3 0 11 23 1 5
"ENSMUSG00000042254" 1 12 15 1 26 5 0 11 20 19 34 17 77 79 67 36
"ENSMUSG00000042256" 0 0 1 2 0 4 0 5 0 0 0 0 0 0 0 0
"ENSMUSG00000042258" 26 14 4 89 54 34 31 73 42 67 50 23 72 59 22 6
"ENSMUSG00000042262" 0 4 20 1 3 1 12 14 0 0 0 11 0 0 0 0
"ENSMUSG00000042265" 0 2 15 4 1 0 0 7 3 10 0 0 1 11 0 0
"ENSMUSG00000042268" 321 399 159 356 497 169 153 176 1653 1440 1192 1409 2448 1685 1776 1560
"ENSMUSG00000042269" 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042271" 950 674 942 1777 604 1168 1125 795 545 574 588 685 369 278 358 216
"ENSMUSG00000042272" 5118 4244 5539 4597 4665 5261 5338 4053 2737 2727 2983 3900 4568 3141 3728 3032
"ENSMUSG00000042275" 126 159 158 152 202 271 189 241 121 94 85 167 171 128 202 113
"ENSMUSG00000042279" 26544 27288 29974 28033 27661 30335 26650 24809 35439 34144 42859 43460 54001 45073 43644 35133
"ENSMUSG00000042282" 6 2 144 8 80 31 58 76 2 0 0 17 19 4 8 11
"ENSMUSG00000042284" 0 1 4 11 15 7 10 15 1 3 2 0 0 0 4 13
"ENSMUSG00000042286" 1 0 0 2 1 4 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042289" 0 30 7 2 24 22 12 7 41 44 37 41 46 73 73 49
"ENSMUSG00000042292" 4523 5168 4980 4848 5225 5229 4918 4593 2751 2403 1963 2120 3674 1968 2739 2483
"ENSMUSG00000042293" 103 102 150 114 170 154 112 188 45 30 27 36 34 18 30 26
"ENSMUSG00000042298" 651 700 816 663 716 728 878 716 390 413 607 406 477 349 417 381
"ENSMUSG00000042302" 2088 2730 2704 2427 2495 2826 2342 2263 1984 1493 1891 2252 3217 2467 2569 2047
"ENSMUSG00000042303" 2269 2257 2681 2532 2781 2489 2378 2081 3320 2478 3114 3362 3913 2494 3153 3084
"ENSMUSG00000042305" 2255 2364 2736 2297 2457 2365 2101 2393 2116 1517 1713 2010 2535 1885 2133 1949
"ENSMUSG00000042306" 52 194 66 70 104 143 128 133 234 188 192 191 250 143 183 235
"ENSMUSG00000042308" 2454 2910 3304 2211 2800 2551 2440 2368 2381 1689 1503 2203 2110 1392 1928 1816
"ENSMUSG00000042312" 0 0 0 0 0 0 0 0 0 0 0 0 10 0 2 0
"ENSMUSG00000042320" 2 0 0 1 0 0 6 0 5 1 20 10 0 6 1 4
"ENSMUSG00000042323" 6551 7957 8446 8046 7992 7707 7525 7174 1588 1232 1573 1592 2606 1782 1724 1505
"ENSMUSG00000042328" 694 591 744 713 627 626 680 671 566 328 361 557 513 320 522 538
"ENSMUSG00000042331" 92 117 167 128 81 104 122 56 39 29 42 47 113 4 52 27
"ENSMUSG00000042333" 214 157 363 199 177 302 305 502 0 0 1 0 8 1 0 0
"ENSMUSG00000042340" 11 24 51 33 17 31 36 33 9 12 2 2 28 25 0 4
"ENSMUSG00000042345" 0 6 2 6 4 0 0 6 1 5 3 14 0 0 0 0
"ENSMUSG00000042348" 475 748 746 583 488 394 556 395 1191 647 959 1198 851 458 626 400
"ENSMUSG00000042349" 59 79 77 77 56 68 82 108 14 0 3 5 0 9 0 2
"ENSMUSG00000042350" 3962 3410 4399 4294 4467 4665 4089 4329 4018 2769 2930 3540 4572 3086 3914 3611
"ENSMUSG00000042351" 5 12 22 34 10 46 32 27 34 21 19 4 35 36 34 41
"ENSMUSG00000042353" 20 19 36 3 15 16 28 18 5 0 0 12 0 0 13 9
"ENSMUSG00000042354" 1135 1078 1310 1324 1178 1533 1322 1112 1709 1566 2041 2171 2948 2227 2283 1538
"ENSMUSG00000042357" 0 3 0 2 0 0 0 0 11 4 0 0 0 0 1 0
"ENSMUSG00000042359" 522 398 864 408 371 325 373 488 173 136 178 94 131 43 119 102
"ENSMUSG00000042360" 0 13 14 1 15 1 8 26 1 0 11 0 21 0 1 0
"ENSMUSG00000042363" 1554 3034 2811 2827 2208 2160 2213 2775 1472 1022 1568 1249 2106 1431 1607 1468
"ENSMUSG00000042364" 5072 4825 5275 4959 4863 5250 5071 4353 5353 4743 5406 5925 8334 5515 6178 5726
"ENSMUSG00000042367" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042369" 61 90 149 69 55 81 46 32 34 28 54 54 37 30 70 106
"ENSMUSG00000042371" 34 67 40 37 24 17 51 51 84 135 54 103 94 79 42 83
"ENSMUSG00000042372" 1 0 3 0 2 5 8 2 0 1 0 0 0 0 2 0
"ENSMUSG00000042377" 5390 6498 6427 5812 6515 6213 5695 6275 6603 4393 4799 6111 7306 4997 6098 5581
"ENSMUSG00000042379" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"ENSMUSG00000042380" 32 61 55 46 68 56 11 47 71 44 36 21 29 29 71 76
"ENSMUSG00000042385" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042386" 0 4 4 1 0 0 0 1 0 0 0 0 0 0 0 1
"ENSMUSG00000042388" 0 0 0 0 0 0 4 0 3 18 0 2 0 10 0 0
"ENSMUSG00000042389" 43 60 68 74 99 56 49 50 67 10 5 26 5 33 48 31
"ENSMUSG00000042390" 33825 28376 33595 33172 35104 35158 33659 30002 34807 34207 39472 39841 50243 32133 36030 27888
"ENSMUSG00000042396" 2249 2295 2835 2427 2353 2578 2528 2100 3898 3994 5203 4657 6233 5834 4755 3812
"ENSMUSG00000042401" 4 1 0 0 5 0 20 4 30 30 11 13 9 13 32 23
"ENSMUSG00000042404" 290 285 277 205 328 345 128 195 222 150 138 176 113 82 178 136
"ENSMUSG00000042406" 3526 4093 5330 4271 4129 3895 4611 4527 6625 3309 5860 4341 9454 5173 7119 5976
"ENSMUSG00000042408" 786 854 916 740 929 1063 992 927 509 509 697 688 909 543 515 573
"ENSMUSG00000042410" 5945 4510 7336 4854 5730 5710 5294 5206 5744 4008 5812 5604 6043 5023 4983 4332
"ENSMUSG00000042414" 0 7 2 0 4 13 4 6 0 0 0 0 1 13 0 6
"ENSMUSG00000042417" 23009 23232 23107 27345 26624 25229 22690 18894 23603 21313 20787 27089 34629 25221 27625 20512
"ENSMUSG00000042419" 164 133 211 144 172 223 147 150 111 127 152 177 223 147 182 112
"ENSMUSG00000042423" 1737 2091 2281 1522 2505 2231 1852 1636 3661 2688 3033 2975 3057 1918 2170 2383
"ENSMUSG00000042425" 61 95 305 95 212 36 59 68 72 19 61 11 76 44 63 64
"ENSMUSG00000042426" 2075 2171 2224 2270 2477 2640 2217 2297 2976 2329 2877 3436 5180 3086 3580 2750
"ENSMUSG00000042428" 0 2 0 1 4 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042429" 0 2 3 5 7 15 0 1 6 1 0 1 0 17 0 3
"ENSMUSG00000042433" 0 0 1 0 1 0 2 0 0 0 0 8 0 0 0 0
"ENSMUSG00000042436" 30 17 67 20 11 31 3 14 17 9 2 9 25 14 1 14
"ENSMUSG00000042439" 4543 5040 4834 5279 4649 5040 4674 4762 3575 3081 3557 4897 5045 4181 4589 3548
"ENSMUSG00000042444" 127 209 150 79 134 51 126 215 35 16 51 36 74 29 37 39
"ENSMUSG00000042446" 3576 3737 5160 3593 4633 4982 4267 3793 2488 1743 2452 2194 3134 2046 2059 2157
"ENSMUSG00000042447" 868 1010 1190 829 833 881 1109 1096 640 382 583 679 1023 643 786 702
"ENSMUSG00000042448" 1239 1215 2038 1292 1106 1517 1507 1854 21 1 9 21 15 32 11 20
"ENSMUSG00000042451" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042453" 2982 4708 4123 3729 3549 3418 3265 3477 4629 2972 4137 3365 4441 3286 3816 3849
"ENSMUSG00000042459" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042460" 322 776 1004 514 549 646 880 961 104 107 184 121 191 304 261 284
"ENSMUSG00000042462" 64 121 122 88 57 100 56 63 215 138 171 173 138 124 156 147
"ENSMUSG00000042472" 331 461 323 420 468 377 449 395 355 232 259 409 619 231 381 280
"ENSMUSG00000042473" 2012 2121 2352 2040 2352 2494 2203 2153 719 442 883 812 891 696 753 654
"ENSMUSG00000042474" 6 0 0 12 0 3 4 3 8 3 7 5 0 0 0 1
"ENSMUSG00000042476" 390 545 629 563 497 655 405 587 353 247 345 348 637 451 407 374
"ENSMUSG00000042477" 5409 4945 5843 4302 4709 4758 3923 3958 5297 4500 5195 4787 5374 4801 5962 5136
"ENSMUSG00000042485" 0 0 0 0 0 1 2 1 1 0 11 0 0 1 2 5
"ENSMUSG00000042487" 1727 1815 1941 1499 1866 1946 1647 1531 1884 1598 1860 1989 2123 1515 1985 1803
"ENSMUSG00000042489" 3946 3840 4147 4318 4429 4348 4047 3787 4704 3789 5087 4766 6546 4586 5048 3997
"ENSMUSG00000042492" 1659 2002 1838 1526 1858 1921 1699 1788 2462 1777 1729 2502 2502 1237 2066 1801
"ENSMUSG00000042496" 3047 2652 2994 3160 3022 2958 2638 2931 1838 1813 2138 2028 3099 1974 2215 1916
"ENSMUSG00000042498" 472 1284 1755 620 606 341 1213 1159 458 163 420 240 399 225 213 395
"ENSMUSG00000042499" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042500" 136 298 317 219 179 125 175 251 17 27 17 23 58 30 79 72
"ENSMUSG00000042501" 20 6 27 12 15 3 0 17 11 6 7 2 28 1 4 6
"ENSMUSG00000042502" 1379 1274 1226 1410 1696 1499 1477 1426 1787 1544 1707 1794 2208 1475 1855 1488
"ENSMUSG00000042505" 248 326 352 251 356 271 362 287 283 214 319 336 471 445 418 275
"ENSMUSG00000042506" 4602 3702 5686 5272 5031 5778 5124 4976 543 298 471 424 829 463 578 607
"ENSMUSG00000042507" 948 1251 2029 859 799 1306 1381 891 868 650 1022 1151 1028 808 756 587
"ENSMUSG00000042508" 3426 3049 3794 3578 3674 4238 3525 3313 2214 1894 2735 2489 2869 2430 2384 1951
"ENSMUSG00000042510" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"ENSMUSG00000042514" 1 0 15 0 0 0 4 0 1 0 0 1 7 0 0 2
"ENSMUSG00000042515" 0 1 4 29 7 14 7 6 1 0 0 0 0 9 0 6
"ENSMUSG00000042520" 6064 5801 6978 5888 6529 6959 5478 5492 8371 7755 9217 9707 11147 8793 8419 7461
"ENSMUSG00000042523" 931 611 992 1014 700 829 829 796 306 92 226 214 250 92 161 119
"ENSMUSG00000042524" 224 286 277 265 222 413 236 312 1 0 0 19 1 0 11 0
"ENSMUSG00000042525" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042529" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042532" 0 0 2 0 0 4 0 0 1 0 0 0 0 0 0 0
"ENSMUSG00000042535" 1988 1900 2285 1909 1858 1730 1884 1773 2684 1853 2146 2561 2952 1884 2295 2136
"ENSMUSG00000042540" 41 20 30 16 27 13 37 28 0 11 1 9 13 5 1 29
"ENSMUSG00000042541" 500 460 570 415 495 490 379 334 544 560 831 913 1185 821 907 785
"ENSMUSG00000042548" 24933 23445 30771 26768 26645 25843 25213 23356 25305 21701 24882 28537 34020 23535 26223 22464
"ENSMUSG00000042549" 9 2 7 1 6 0 8 7 5 3 8 5 2 20 0 0
"ENSMUSG00000042554" 97 75 105 52 72 78 140 89 136 112 92 128 200 188 147 162
"ENSMUSG00000042557" 28131 25706 30376 30324 28995 31758 27372 26644 31913 29826 36617 39904 46759 32635 32653 26095
"ENSMUSG00000042558" 63 95 108 109 112 117 182 160 55 49 34 68 148 50 86 49
"ENSMUSG00000042564" 1 4 17 6 3 8 10 4 0 0 0 0 0 0 1 0
"ENSMUSG00000042567" 2569 2160 2790 2616 2221 2452 1523 1716 2601 1901 2761 2556 2939 1738 1971 1599
"ENSMUSG00000042569" 39 45 79 27 43 16 32 55 21 58 13 50 52 86 38 32
"ENSMUSG00000042570" 3691 4314 3775 3693 4686 4512 3447 3079 7821 6651 6368 8284 9333 6247 6920 6363
"ENSMUSG00000042572" 888 1012 983 892 961 937 791 891 749 719 746 683 1084 859 890 772
"ENSMUSG00000042579" 228 206 197 168 168 248 335 182 106 71 96 124 37 53 75 76
"ENSMUSG00000042581" 652 144 639 416 683 425 526 401 525 395 574 737 913 735 533 421
"ENSMUSG00000042589" 970 1617 1115 862 1041 1039 829 960 1407 1112 1113 1579 1697 956 1447 1239
"ENSMUSG00000042590" 2144 1457 2209 2110 2042 2057 2247 1849 275 247 259 318 521 425 468 404
"ENSMUSG00000042594" 1113 900 1202 847 989 1064 1057 842 1266 809 911 1055 1034 636 894 900
"ENSMUSG00000042595" 11707 12107 15903 11549 12612 13156 13008 12012 18754 14191 19298 17109 19749 16676 16281 13681
"ENSMUSG00000042596" 11 0 67 15 52 10 59 43 0 0 0 3 2 0 0 0
"ENSMUSG00000042599" 25850 28599 29148 25804 28587 28919 24884 25294 15286 15882 21358 22456 29664 20881 21467 18132
"ENSMUSG00000042604" 0 0 0 4 0 0 0 0 0 0 0 3 0 0 0 0
"ENSMUSG00000042605" 7646 7002 7999 7296 7858 7700 6369 6302 8568 7451 8156 8416 11500 7332 9077 7989
"ENSMUSG00000042606" 2979 2588 2912 2786 2996 2632 2640 2547 4398 4174 4864 5761 6503 4932 4473 3705
"ENSMUSG00000042607" 829 402 920 833 381 330 364 354 999 950 982 1194 833 880 687 646
"ENSMUSG00000042608" 1933 1591 1704 1813 1942 2032 1756 1629 2075 1777 1935 2428 2919 2009 2031 1901
"ENSMUSG00000042613" 0 0 20 3 2 0 7 4 0 0 0 0 12 16 1 0
"ENSMUSG00000042616" 167 174 292 201 226 223 120 288 24 29 24 47 14 53 41 31
"ENSMUSG00000042622" 61 11 40 18 17 37 19 18 11 1 3 2 6 46 2 5
"ENSMUSG00000042625" 900 916 852 887 1056 997 712 727 1411 1138 1459 1198 1888 1419 1611 1401
"ENSMUSG00000042626" 546 500 527 613 486 649 534 417 545 504 612 724 627 444 412 591
"ENSMUSG00000042628" 2012 2048 2694 2096 2127 2006 1805 2304 1233 832 876 1153 1520 883 1109 913
"ENSMUSG00000042631" 2 11 6 0 2 0 0 3 31 16 4 0 30 0 10 13
"ENSMUSG00000042632" 740 621 1093 700 719 688 575 455 1254 1013 1233 1119 1386 1063 1308 1353
"ENSMUSG00000042638" 122 146 368 144 194 116 188 246 143 110 112 134 438 298 216 178
"ENSMUSG00000042641" 110 50 129 98 54 39 87 73 67 67 44 58 31 140 59 74
"ENSMUSG00000042642" 283 396 446 330 407 316 339 246 535 493 588 571 763 555 507 514
"ENSMUSG00000042644" 610 532 887 752 488 445 478 581 132 150 170 249 382 167 153 208
"ENSMUSG00000042647" 68 96 96 134 130 131 166 184 45 21 60 14 23 63 33 11
"ENSMUSG00000042650" 11351 11060 14294 11842 12402 11766 11952 10584 19587 14405 15168 17542 22000 18405 19854 19611
"ENSMUSG00000042655" 0 0 6 9 3 0 1 1 0 8 0 0 14 14 12 0
"ENSMUSG00000042659" 598 399 1006 698 648 763 792 773 28 6 5 36 6 1 10 37
"ENSMUSG00000042660" 101 233 189 178 163 112 192 156 208 183 222 241 311 204 185 157
"ENSMUSG00000042662" 7 2 0 0 2 0 0 0 0 0 8 0 0 0 0 0
"ENSMUSG00000042670" 144 194 246 267 210 191 235 156 276 344 310 356 441 348 379 354
"ENSMUSG00000042671" 2 5 0 13 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000042672" 0 1 2 0 7 7 0 0 0 0 0 0 0 0 1 0
"ENSMUSG00000042675" 293 278 343 273 387 316 359 316 397 354 317 406 531 297 331 300
"ENSMUSG00000042677" 2 36 9 14 22 10 8 32 0 0 0 0 0 0 0 0
"ENSMUSG00000042678" 0 0 2 3 1 1 1 0 3 3 16 5 8 0 26 10
"ENSMUSG00000042680" 1435 1428 2109 1392 1972 1782 1720 1425 1674 1524 1566 1819 2275 1352 1662 1640
"ENSMUSG00000042682" 525 451 621 680 680 545 512 501 746 657 801 1117 959 764 768 664
"ENSMUSG00000042684" 17 37 25 41 36 9 14 28 12 0 0 0 22 26 25 40
"ENSMUSG00000042686" 364 357 314 291 543 500 442 490 272 222 227 181 378 259 194 173
"ENSMUSG00000042688" 9559 7668 10238 9577 9920 11058 10082 8422 9236 8330 9818 10995 11742 9595 9312 7694
"ENSMUSG00000042694" 605 553 503 480 574 670 656 508 414 433 460 570 659 501 540 398
"ENSMUSG00000042699" 442 904 814 635 605 650 541 725 1007 609 932 760 1126 1288 1062 1068
"ENSMUSG00000042700" 6101 4779 6371 5400 5191 4941 4394 3999 7894 6560 8165 8845 9362 6804 7837 6550
