"dis3l2_yg_cKO_1_1_S11_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_2_S14_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_3_S9_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_4_S12_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_1_S15_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_2_S10_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_3_S13_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_4_S16_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_1_S6_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_2_S1_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_3_S4_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_4_S7_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_1_S2_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_2_S5_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_3_S8_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_4_S3_L001_R1_001_cutadaptAligned_genes_yes.txt"
"ENSMUSG00000000278" 1193 753 1158 1068 1190 1137 975 991 1501 1473 1724 2143 2937 2362 2025 1586
"ENSMUSG00000000282" 932 961 1185 757 1094 1017 1097 914 458 420 523 415 613 397 543 393
"ENSMUSG00000000290" 18 11 3 8 3 0 2 7 38 12 13 12 68 19 31 33
"ENSMUSG00000000295" 87 121 138 95 106 112 103 85 43 26 67 63 114 46 76 99
"ENSMUSG00000000296" 33 44 56 41 25 26 69 61 84 54 96 71 191 114 75 102
"ENSMUSG00000000301" 56 44 50 82 51 62 78 93 42 27 65 59 36 74 49 36
"ENSMUSG00000000303" 15978 15182 16272 16880 16928 16896 14029 14595 15965 13759 15153 17921 26451 17839 19724 15468
"ENSMUSG00000000305" 925 1070 1460 1092 649 662 759 714 1340 1190 1316 1255 1675 1113 1368 1155
"ENSMUSG00000000308" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000317" 9 34 27 37 10 2 19 11 8 0 4 0 21 18 3 2
"ENSMUSG00000000318" 65 37 72 96 55 104 92 66 43 59 24 45 64 38 45 80
"ENSMUSG00000000320" 130 119 59 57 154 98 116 85 165 151 220 215 254 148 172 185
"ENSMUSG00000000325" 194 227 251 150 285 173 205 192 156 31 96 57 34 85 88 106
"ENSMUSG00000000326" 6 6 4 37 15 3 4 35 0 0 0 0 0 0 0 0
"ENSMUSG00000000339" 296 368 401 278 260 243 362 230 437 274 311 321 431 505 378 349
"ENSMUSG00000000340" 1602 1097 2141 1606 1465 1634 2129 1754 265 147 299 197 339 351 418 214
"ENSMUSG00000000346" 1501 1607 1772 1413 1662 1421 1386 1396 2824 2315 2689 2876 3385 3136 2681 2381
"ENSMUSG00000000355" 50 102 97 75 118 103 109 141 27 59 43 100 126 54 91 55
"ENSMUSG00000000359" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000365" 1697 2534 2101 2045 2098 2536 2160 1865 4342 3442 4584 5170 6375 5655 4883 3459
"ENSMUSG00000000374" 3343 3264 3429 2607 3480 3628 3022 3270 4187 3135 3169 3480 4441 2503 3624 3724
"ENSMUSG00000000378" 269 284 241 171 255 286 209 181 266 148 169 172 441 216 291 263
"ENSMUSG00000000381" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000384" 195 342 291 277 312 363 296 329 432 280 260 287 424 259 348 356
"ENSMUSG00000000385" 1 1 1 0 0 0 1 14 8 7 5 5 9 31 15 3
